user_id,reviews_item_id,reviews_recommend,sentiment_analysis,year
76561197970982479,1250,True,2,2011
js41637,251610,True,2,2014
evcentric,248820,True,2,0
doctr,250320,True,2,2013
maplemage,211420,True,1,2014
Wackky,249130,True,1,2014
76561198079601835,730,True,1,0
MeaTCompany,730,True,2,0
76561198089393905,72850,True,0,2015
76561198156664158,252950,True,2,0
76561198077246154,440,True,1,0
WeiEDKrSat,4000,True,1,2013
thequeenpanda,42910,True,1,2012
death-hunter,232090,True,2,2015
DJKamBer,304930,True,2,2014
Rainbow-Dashie,730,True,2,2015
76561198043472122,33440,False,1,2014
MarbleShrine,220200,True,2,2015
PPanther,211820,True,2,2014
devvonst,440,True,2,2014
Fr0stedLine,220,True,2,0
starkillershadow553,238090,True,0,2015
76561198058373434,8870,True,2,2015
76561198048353577,368230,True,0,2015
76561198066046412,359320,False,0,2015
tru_mu_,287980,True,2,2015
76561198070565427,218620,True,1,0
SavageEeEe,221100,True,2,2015
76561198076909484,570,True,1,2014
KanadeTheNeko,331470,True,2,2014
Leaf_Light_Moscow,323370,True,2,0
GoAwayZach,304930,True,2,2014
76561198054540475,12210,True,0,2015
76561198085547365,238460,True,2,0
76561198061252210,730,True,2,2015
OfficialShroomsy,113200,True,2,2013
boydeer,440,True,1,2014
VVillis,213670,True,1,2015
76561198083226897,105600,True,1,2015
76561198075277292,730,True,0,2015
76561198028895010,231180,True,2,2013
76561198170198366,271290,True,2,0
diego9031,4000,True,1,0
jarrodtrim,440,True,2,2012
76561198078738103,304930,True,2,0
76561198067936203,440,True,2,2015
76561198079770573,1840,True,1,2015
76561198087586464,440,True,2,2013
Derp-e,440,True,2,2015
76561198070194565,233250,True,1,2014
Rivtex,298630,True,1,2015
UTNerd24,244210,True,2,2014
sandwiches1,417860,False,1,2015
76561198138053270,218620,True,2,2014
lucaswerg,218620,True,2,2014
Life-Of-Blu,377160,True,2,2015
CaptianAutismo,252490,True,1,2015
76561198075895633,440,True,2,2014
TheDropix101,242920,True,2,0
kube134,251990,True,2,2014
iamthekingofbrowntown,344760,False,0,2015
MainScout,550,True,1,0
yookobz,277430,True,2,2014
Posiblydead,440,True,2,2015
Mossy_Gaming,270550,True,2,2015
76561198102421718,440,True,1,2014
76561198087407319,730,True,1,2014
76561198056741844,294100,True,0,0
sad-commie,332800,True,1,2014
76561198030567998,377160,False,2,0
76561198010674657,35450,True,2,2015
Coldaniel,351570,True,2,2015
therealmorty,391540,True,2,2015
Berserklejerker,550,True,0,2014
76561198061730629,440,True,1,2014
YoHuNz,72850,True,2,2015
possessioniskey,440,True,1,2014
76561198093112529,200510,True,2,2015
76561198060447950,730,True,2,2015
whiteofwolfing,383080,True,1,2015
sergarino,200210,True,1,0
76561198081962345,304050,True,1,0
76561198073210139,351640,True,2,2015
Nozomikat,730,True,2,2014
xfluttersx,253710,False,2,2014
76561198056290589,440,True,2,2015
ii_voltage_ii,550,True,1,2013
76561198097762318,730,True,2,2015
Hirukaz,440,True,2,2015
StelerForYou,346330,False,1,0
76561198183396245,320760,True,0,2015
Xx-Woods,4000,True,2,2014
kevinator23,333950,True,2,2015
76561198090715178,221100,True,2,2015
CatsWhale,730,True,1,2015
76561198073784601,440,True,1,2015
mimimomoma,209870,True,2,2014
76561198102410011,322170,True,2,0
de_Butl3r,440,True,1,2015
76561198027947401,730,True,2,2015
Bluezap1,346110,True,2,0
76561198074200011,570,True,2,2014
jonasdbomb,311560,True,2,2015
L1J1N,48240,False,1,2014
Lord_Exploit,730,True,2,0
AVATAR715,240,True,1,2014
YieuwMage,304930,True,1,2015
76561198078752187,730,True,1,0
A-Very-Sly-Person,365590,True,2,0
76561198211054671,298050,False,2,0
76561197994493402,383080,True,2,2015
Koolcaz12,440,True,2,0
76561198065656175,301520,True,2,2014
76561198188979775,251570,True,2,2015
97396295,55230,True,2,2015
76561198126640317,346110,True,2,2015
DemonicWolvz,570,False,1,0
DieMadchenschanderin,273350,True,2,0
GGargula,730,True,0,2015
Myther43,730,True,2,2015
getf0kinn0sc0pedm9,570,True,1,0
76561198141443390,730,True,2,2015
76561198097333029,370480,True,2,2015
whodafuqisthisguilao,1840,True,1,2014
Magjiikal,292030,True,0,0
ohnospaghet,287700,True,1,2015
76561198050347115,259530,True,1,0
2768820078,317470,False,2,2014
76561198056392326,730,True,1,0
2d4nk4m3,365450,True,1,0
76561198078478151,245620,True,2,2015
exiaez,70,True,1,2015
76561198095921854,274980,True,2,2014
EizanAratoFujimaki,570,True,2,2015
TeCool,440,False,2,0
2xDelorean,251970,True,1,2015
washington_,359550,True,0,0
jewxxl,400,True,2,2015
76561198088944293,730,True,2,2015
76561198092540221,265610,True,2,2014
76561198051258119,31280,True,1,2013
nubquake123,440,True,2,0
Pyromanic,252490,True,1,2015
76561198109656922,8930,True,2,2013
CobRazor,304930,True,2,2014
relesprit,230410,True,2,2015
WitchHunter4542,440,True,2,2014
pwrt,219640,False,0,0
wantmahbody,570,True,1,2014
76561198115868847,8930,True,2,2014
benedictcuminherbatch,105600,True,2,2015
76561198031207016,218620,True,2,2014
76561198043458582,225540,True,2,0
smashiroshh,570,True,2,2015
shark854,230410,False,2,2015
killbunny38,271590,True,2,2015
76561198047630659,302830,False,0,2015
1337lolroflmao,570,False,0,2014
sithjjf,218620,False,1,0
76561198060039459,304930,False,0,2015
OzfurAtlas,227940,False,2,2015
76561198065593074,236390,True,2,2014
76561198044169764,221100,False,0,0
euzi,730,True,2,2014
76561198074935997,440,True,1,0
76561197961778802,301520,False,0,0
lucasrash,440,True,1,2014
76561198016602703,4000,True,2,2015
thisissohardtomakeoneup,302830,False,1,2015
76561198087010391,220200,True,2,2014
66666669999999,352460,True,2,2015
76561198061174192,322920,True,2,2015
ReMiXOfficalSteam,234792,True,1,2015
Wilfire77,304050,False,0,2015
76561198084390807,10180,True,2,2013
Mastic,242760,True,2,0
76561198028286104,233110,False,1,0
tarjla,227940,True,2,0
deathnz1,304930,True,2,2015
readingthis4noobs,730,True,1,0
76561198104393251,448530,True,2,0
76561198075322986,252950,True,2,0
redsncrimson,240,True,2,2014
76561198151910904,268750,True,2,2015
H1DD3NT3RR0R,570,True,2,2015
76561198071214618,570,True,1,2015
76561198115115631,360870,True,2,2015
76561198071175142,230410,True,1,0
t8s,301520,True,2,2014
pikawuu2,6060,True,2,2014
Sammeh00,335670,True,1,2015
Michaelele,215080,True,2,2015
76561198045754869,570,True,0,2014
76561198076098774,271590,True,2,2015
76561198103253374,8190,True,2,2015
76561198048417105,247730,False,0,2015
76561198090842891,233630,True,1,2014
76561198055767971,303390,False,1,0
76561197998052647,221100,True,2,2014
adohya343,208812,False,2,2014
76561198145436942,500,True,2,2014
jjas01,206420,True,2,2015
3xotic26,550,True,2,2015
iamthetrashlord,231040,True,2,2014
3dster,221100,True,0,2014
76561198079990063,351040,True,1,2015
Forty-Nine,227940,True,2,0
76561198051017916,301520,False,2,0
L4M1NAS,264710,True,2,2015
76561198096766604,218620,True,2,2014
76561197995322437,206420,True,1,2015
imsojipper,570,True,2,2015
76561198084542731,236110,True,0,0
76561198103671881,440,True,2,2012
mrpfresh,339230,False,1,2015
GamerFag,219990,True,2,2013
EHS-R3AP3R,730,True,2,2014
chidori_647,4000,True,2,2014
76561198092227136,401650,True,0,2015
hellcat59,35450,True,2,2012
76561198007584361,230410,True,2,2015
tbimperator,290020,True,2,2014
Allahu_Akbar666,226700,False,0,2014
ulramite,298260,True,2,2015
-GM-Dragon,370240,False,0,2015
76561198054040292,214420,True,2,0
76561198078799606,369070,False,0,0
I_DID_911_JUST_SAYING,218620,True,2,2015
750805,302830,False,1,2015
diabeticfuck,440,True,2,2014
76561198054465623,238960,True,1,2014
aaropro,310370,True,2,2015
abiam,221100,False,2,2015
FrankoWalker,248820,True,1,2015
LightfootSword7,304930,True,2,2014
SALTTHEW0UND,242760,True,1,2015
express157,730,True,1,2015
76561198074644990,10150,True,1,2014
76561198064304806,214950,True,2,2015
TomoeMamiewe,218620,True,2,2014
76561198057086148,313740,True,2,2014
Acidius99,570,True,1,0
acorn13,291550,True,2,2015
adamcookie,233250,True,2,2014
AddzyTheBaddzy,275850,False,2,0
mrfunkyjunkie,337320,True,0,0
mradobe7,730,True,1,2015
76561198167207237,10090,True,2,2014
cancerkek,252490,False,2,0
76561198073508075,252490,False,1,0
76561198074323290,22370,True,2,2015
76561198090899557,1250,True,0,2015
advenger95,440,True,1,2014
EndAtHallow,440,True,2,2014
76561198063624801,570,True,1,2013
aeryal,248610,True,0,2015
76561198070263209,208090,True,2,2014
76561198015968275,250340,True,2,2014
Agiegamma,244850,True,2,2014
76561198082614708,262410,True,2,2014
Agronoth,221100,True,1,2014
UnholyFallenAngel,4000,True,2,2014
76561198068565589,223710,True,1,2014
SlutOnTheSpit,317360,True,1,2014
WestyGaming,239660,True,2,2015
NaruseAiria,730,True,2,0
76561198067713802,495890,True,1,0
76561198187212131,4000,True,2,2014
76561198044678148,295270,True,2,2014
Alex680,283920,True,0,2015
alansiulun,432020,False,2,0
Albolah,319630,True,2,0
76561198003056556,227860,False,1,2015
maxpaynepillkiller,218620,True,2,2015
AlexNoClutch,208090,True,0,2014
Alexwai04,730,True,2,0
76561198095481910,228280,True,2,2015
76561198164545985,226700,True,1,2015
AlkalineDeath,35450,True,0,2015
76561198075935236,9900,True,2,0
mintifreshbadger,236370,True,2,0
AlpacaRevolution,381210,True,0,0
AlphaBryn444,570,True,1,2014
76561198071952798,271290,True,2,2014
76561198009001563,346010,True,2,2015
